ID,SumLoad,NormLoad,AvgLoad,NormRatio,Country,State,SiteName
722900_TMY2,"[722.74318396 626.49680251 631.51443345 585.29397239 571.59760277
 604.97982998 749.35057831 781.12345512 773.5768954  753.23915542
 635.15929253 710.3914515 ]","[0.92526115 0.80204582 0.80846943 0.74929765 0.73176346 0.77449963
 0.95932413 1.         0.99033884 0.96430231 0.8131356  0.90944837]","[0.97142901 0.93228691 0.84880972 0.81290829 0.76827635 0.84024976
 1.00719164 1.04989712 1.07441235 1.01241822 0.88216568 0.95482722]",781.1234551232212,USA,CA,San Diego
722596_TMY2,"[2156.64848305 1655.47575903 1146.30856473  871.89094504  936.60893531
 1241.23606707 1477.67958865 1442.10578485 1178.05423927 1024.61631329
  895.22082185 1860.09102666]","[1.         0.76761502 0.53152314 0.40428051 0.4342891  0.57553935
 0.68517406 0.66867911 0.54624305 0.47509658 0.41509816 0.86249152]","[2.89872108 2.46350559 1.54073732 1.21095965 1.25888298 1.72393898
 1.98612848 1.93831423 1.63618644 1.37717246 1.24336225 2.50012235]",2156.6484830450013,USA,TX,Fort Worth
727120_TMY2,"[1023.42757333  891.2923865   866.43896485  759.18942875  690.51278671
  593.18737412  603.91943734  581.78636292  641.04635925  765.5869129
  830.93853135  979.44695248]","[1.         0.87088956 0.84660506 0.74181061 0.67470606 0.57960855
 0.59009494 0.56846852 0.62637198 0.74806164 0.81191728 0.95702615]","[1.3755747  1.32632796 1.1645685  1.05442976 0.92810858 0.82387135
 0.81171967 0.78197092 0.89034217 1.02901467 1.15408129 1.31646096]",1023.4275733345961,USA,ME,Caribou
702670_TMY2,"[1094.45946279  945.79267251  905.73934617  791.19295845  699.17406711
  597.41220243  604.86500878  580.25930304  675.38892879  834.6544354
  935.45411983 1069.63746199]","[1.         0.86416419 0.82756774 0.7229075  0.63883048 0.54585137
 0.55266095 0.53017889 0.61709817 0.76261795 0.85471792 0.97732031]","[1.47104767 1.40742957 1.21739159 1.09887911 0.93975009 0.82973917
 0.8129906  0.77991842 0.93804018 1.12184736 1.29924183 1.43768476]",1094.4594627886718,USA,AK,Big Delta
723183_TMY2,"[1206.04169075 1063.39317089 1047.21371011  928.22815042  848.80080848
  908.20229889 1096.58829315 1062.73027453  965.646518    947.705626
 1001.9974039  1119.58338122]","[1.         0.88172173 0.86830639 0.76964848 0.7037906  0.75304387
 0.90924576 0.88117209 0.80067424 0.7857984  0.8308149  0.92831234]","[1.62102378 1.58243031 1.40754531 1.28920576 1.1408613  1.26139208
 1.473909   1.42840091 1.34117572 1.27379788 1.39166306 1.50481637]",1206.041690753474,USA,TN,Bristol
722315_TMY2,"[1570.19625952 1383.36956818 1109.39662633  908.65728607 1059.06241745
 1246.88067309 1393.09114962 1279.03315643 1223.62758784 1057.10391278
  925.09765424 1289.6336229 ]","[1.         0.88101698 0.70653373 0.57869026 0.67447774 0.79409225
 0.8872083  0.81456897 0.77928321 0.67323044 0.58916053 0.82132002]","[2.11047884 2.05858567 1.4911245  1.26202401 1.42347099 1.73177871
 1.87243434 1.71913059 1.69948276 1.42083859 1.28485785 1.73337853]",1570.196259519814,USA,LA,New Orleans
722260_TMY2,"[1922.72210586 1728.4944744  1062.94510581  855.1421939  1021.39040111
 1227.97299231 1323.87669255 1279.15792821 1172.66483766  940.53470095
  872.73129875 1605.28059598]","[1.         0.89898299 0.55283346 0.444756   0.53122102 0.63866379
 0.68854292 0.66528487 0.60989824 0.4891683  0.45390402 0.83489995]","[2.58430391 2.5721644  1.42868966 1.18769749 1.37283656 1.70551804
 1.77940416 1.71929829 1.62870116 1.26415954 1.2121268  2.15763521]",1922.7221058631026,USA,AL,Montgomery
722480_TMY2,"[2054.97835308 1739.51811241 1120.29709635  861.92451964  994.87592831
 1179.27240217 1375.05952483 1307.53852943 1162.60243966 1029.82624787
  888.5052127  1769.26931911]","[1.         0.84648975 0.54516248 0.41943241 0.48412964 0.57386123
 0.66913577 0.63627849 0.56574924 0.50113727 0.43236719 0.86096738]","[2.76206768 2.58856862 1.50577567 1.19711739 1.33719883 1.63787834
 1.84819829 1.75744426 1.61472561 1.38417506 1.23403502 2.37805016]",2054.978353078093,USA,LA,Shreveport
722510_TMY2,"[1480.27265373 1011.56949261  917.69048546  970.94642347 1128.71659386
 1347.22129709 1477.15340075 1416.11264575 1335.82930386 1180.18493383
 1049.09777202 1095.68506456]","[1.         0.68336701 0.61994693 0.65592404 0.76250587 0.91011699
 0.99789278 0.95665663 0.90242112 0.79727537 0.70871928 0.74019138]","[1.98961378 1.50531174 1.23345495 1.3485367  1.5170922  1.87114069
 1.98542124 1.90337721 1.85531848 1.58627007 1.45708024 1.47269498]",1480.2726537305732,USA,TX,Corpus Christi
702510_TMY2,"[1029.49295081  882.08856281  863.01544619  774.59955055  701.86268951
  606.14219897  612.05661059  580.25930304  670.92275229  813.6994796
  882.91162063 1010.93718468]","[1.         0.85681846 0.83829175 0.75240879 0.6817557  0.58877742
 0.59452239 0.56363601 0.65170213 0.79038859 0.85761794 0.98197582]","[1.38372708 1.31263179 1.159967   1.07583271 0.94336383 0.84186417
 0.82265673 0.77991842 0.93183716 1.0936821  1.22626614 1.35878654]",1029.4929508130406,USA,AK,Talkeetna
